,CASENO,OFFENSE,CVLEGEND,BLKADDR,City,State,Day,Lat,Lon,timestamp
4288,17050706,BURGLARY AUTO,BURGLARY - VEHICLE,1300 SAN PABLO AVE,Berkeley,CA,Saturday,37.880262,-122.295809,2017-08-26 18:30:00
4289,17074489,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,600 CEDAR ST,Berkeley,CA,Monday,37.873089,-122.304616,2017-11-27 13:00:00
4290,17073477,THEFT MISD. (UNDER $950),LARCENY,100 FAIRLAWN DR,Berkeley,CA,Friday,37.886423,-122.251919,2017-12-01 16:45:00
4291,17092160,BURGLARY AUTO,BURGLARY - VEHICLE,800 POTTER ST,Berkeley,CA,Monday,37.851255,-122.292509,2017-10-30 15:05:00
4292,17055021,BURGLARY AUTO,BURGLARY - VEHICLE,1800 SAN PABLO AVE,Berkeley,CA,Tuesday,37.871402,-122.292965,2017-09-12 16:45:00
4293,17054389,BURGLARY AUTO,BURGLARY - VEHICLE,1100 UNIVERSITY AVE,Berkeley,CA,Sunday,37.869067,-122.292043,2017-09-10 06:03:00
4294,17092508,THEFT MISD. (UNDER $950),LARCENY,1100 UNIVERSITY AVE,Berkeley,CA,Thursday,37.869067,-122.292043,2017-12-14 22:00:00
4295,17053724,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2900 PIEDMONT AVE,Berkeley,CA,Thursday,37.858628,-122.250783,2017-09-07 20:23:00
4296,17061251,ROBBERY,ROBBERY,2300 CHANNING WAY,Berkeley,CA,Monday,37.86632700000001,-122.263359,2017-10-09 22:45:00
4297,17091961,IDENTITY THEFT,FRAUD,1700 SONOMA AVE,Berkeley,CA,Thursday,37.886772,-122.282524,2017-09-07 13:10:00
4298,17092422,VANDALISM,VANDALISM,1500 UNIVERSITY AVE,Berkeley,CA,Tuesday,37.870396,-122.281585,2017-12-05 21:55:00
4300,17092141,THEFT MISD. (UNDER $950),LARCENY,1500 ASHBY AVE,Berkeley,CA,Monday,37.853316,-122.278738,2017-10-23 10:00:00
4301,17073608,ASSAULT/BATTERY FEL.,ASSAULT,2400 SAN PABLO AVE,Berkeley,CA,Monday,37.862542,-122.290104,2017-12-04 09:10:00
4303,17073969,BURGLARY AUTO,BURGLARY - VEHICLE,1400 SHATTUCK AVE,Berkeley,CA,Tuesday,37.881957,-122.269551,2017-12-05 20:18:00
4304,17049255,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,900 ASHBY AVE,Berkeley,CA,Monday,37.851017,-122.291088,2017-08-21 06:05:00
4305,18001733,ROBBERY,ROBBERY,3000 HILLEGASS AVE,Berkeley,CA,Tuesday,37.855651,-122.255006,2018-01-09 19:40:00
4307,17050898,VANDALISM,VANDALISM,UNIVERSITY AVENUE & SHATTUCK AVE,Berkeley,CA,Sunday,37.872185,-122.268407,2017-08-27 20:48:00
4308,18005877,DISTURBANCE,DISORDERLY CONDUCT,1600 WARD ST,Berkeley,CA,Monday,37.858132,-122.277595,2018-01-29 14:39:00
4309,17067705,DISTURBANCE,DISORDERLY CONDUCT,1700 WARD ST,Berkeley,CA,Sunday,37.858392,-122.275421,2017-11-05 01:00:00
4310,17092120,THEFT MISD. (UNDER $950),LARCENY,1400 LE ROY AVE,Berkeley,CA,Sunday,37.88293,-122.260725,2017-10-22 19:30:00
